shift_duration_hrs,ventilation_rate_m3_per_min,methane_level_ppm,machinery_age_years,avg_worker_experience_yrs,workforce_size,depth_m,temperature_c,incidents_last_30_days,incident_occurred
8,4.92,137.2,4.0,2.8,8,416.0,33.1,2,1
12,5.01,108.1,1.6,1.9,27,861.0,31.7,0,0
10,6.09,51.0,9.5,1.6,13,225.0,27.6,0,0
10,7.16,1.0,0.2,17.9,28,315.0,25.2,1,0
8,8.14,102.8,1.7,0.8,25,312.0,27.1,0,0
8,5.05,50.5,16.2,6.6,20,296.0,22.9,1,1
8,9.19,199.0,15.4,0.0,29,448.0,27.6,0,0
12,6.01,3.6,18.3,4.5,30,891.0,13.8,0,0
10,6.46,131.9,17.1,12.4,13,805.0,28.4,0,0
10,5.16,425.7,13.7,1.7,19,329.0,28.6,0,0
8,2.14,28.7,1.0,1.0,37,409.0,32.2,0,0
12,8.09,95.7,15.7,5.3,5,619.0,29.5,1,0
12,7.83,14.4,16.9,6.2,9,65.0,32.9,1,0
8,5.99,147.4,16.0,5.8,13,747.0,30.7,0,0
8,6.62,120.0,10.2,1.9,10,798.0,33.2,0,0
8,7.43,78.5,4.7,1.5,32,779.0,41.1,0,0
8,3.69,110.5,16.9,15.6,30,369.0,30.1,0,1
10,5.55,340.3,14.5,12.8,32,443.0,28.9,0,0
8,7.93,32.8,19.6,3.1,19,61.0,33.9,0,0
8,4.24,3.4,3.1,9.4,10,389.0,25.7,0,0
10,7.03,296.7,4.5,3.0,31,441.0,27.4,0,0
8,4.06,129.1,4.2,2.8,8,821.0,30.1,0,1
8,7.34,332.0,15.9,0.9,15,810.0,28.4,0,0
8,6.44,136.3,3.7,2.8,25,871.0,28.3,0,0
8,3.59,249.2,1.3,3.9,34,802.0,32.5,0,1
10,8.6,84.2,20.0,0.1,22,57.0,19.5,0,0
8,5.18,207.9,0.5,2.9,39,595.0,38.2,1,1
10,5.04,366.3,16.7,7.6,7,108.0,30.4,0,1
10,6.86,127.3,7.3,5.7,16,282.0,26.0,0,0
8,8.57,29.9,16.8,5.0,31,542.0,36.1,1,0
10,4.67,47.0,11.1,12.0,34,646.0,28.5,1,0
8,6.61,33.2,18.0,0.1,25,606.0,28.6,0,0
8,7.27,42.5,18.5,4.1,25,92.0,26.9,0,0
12,7.75,54.9,0.2,7.7,19,138.0,35.3,0,0
